Company_Name,Current Year,Years_to_Bankrupt,Bankruptcy,Total_Revenue,Gross_Profit,Net_Income,EBITDA,Total_Current_Assets,Total_Assets,Total_Current_Liabilities,Cash_from_Ops.,Net_Debt/EBITDA,Profit_Margin,Net_Debt,Net_Workng_Capital,Current_Ratio,Debt_to_Cash_Flow_From_Ops,Market_Capitalization,Market_Capitalization
Reko International Group Inc. (TSXV:REKO),2005.00,16.00,0.00,51.40,13.50,-2.51,7.24,50.70,92.00,34.20,2.40,4.30,-0.05,31.13,16.50,1.48,12.97,16.80,21.20
Command Security Corporation,2005.00,16.00,0.00,84.00,11.20,0.25,0.54,17.40,18.60,10.70,-3.67,11.10,0.00,5.94,6.70,1.63,-1.62,14.30,21.50
"TOR Minerals International, Inc. (OTCPK:TORM)",2005.00,16.00,0.00,32.70,6.35,0.48,2.88,12.70,34.00,5.10,2.54,1.96,0.01,5.64,7.60,2.49,2.22,43.00,21.50
United American Healthcare Corporation (OTCPK:UAHC),2005.00,16.00,0.00,20.30,20.30,2.79,3.70,10.40,24.40,3.00,3.90,0.00,0.14,0.00,7.40,3.47,0.00,44.60,21.50
Prism Medical Ltd.,2005.00,16.00,0.00,40.20,15.50,1.61,5.24,15.50,33.00,6.97,0.60,2.73,0.04,14.31,8.53,2.22,23.84,12.20,21.70
Live Current Media Inc. (OTCPK:LIVC),2005.00,16.00,0.00,5.77,1.87,0.35,0.14,1.95,3.56,0.94,0.63,0.00,0.06,0.00,1.02,2.09,0.00,7.66,22.00
Hallador Energy Company (NasdaqCM:HNRG),2005.00,16.00,0.00,1.10,0.88,0.16,0.21,14.40,24.60,3.05,0.11,0.00,0.15,0.00,11.35,4.72,0.00,,22.00
"Star Buffet, Inc. (OTCPK:STRZ)",2005.00,6.00,1.00,56.30,6.85,1.80,4.65,1.65,34.80,6.16,3.87,1.58,0.03,7.35,-4.51,0.27,1.90,19.20,22.10
"Star Buffet, Inc. (OTCPK:STRZ)",2005.00,6.00,1.00,56.30,6.85,1.80,4.65,1.65,34.80,6.16,3.87,1.58,0.03,7.35,-4.51,0.27,1.90,19.20,22.10
Sylogist Ltd. (TSXV:SYZ),2005.00,16.00,0.00,5.03,2.92,1.74,1.14,7.42,9.08,1.91,0.22,0.00,0.35,0.00,5.51,3.88,0.00,11.40,22.40
American Bio Medica Corporation (OTCPK:ABMC),2005.00,16.00,0.00,13.00,6.05,-0.38,0.04,6.37,7.94,1.81,-0.37,4.79,-0.03,0.18,4.56,3.52,-0.49,21.90,22.40
Spartan Energy Corp.,2005.00,16.00,0.00,2.77,2.12,0.21,1.60,2.19,8.98,3.25,1.88,0.00,0.08,0.00,-1.06,0.67,0.00,8.57,22.50
Theralase Technologies Inc. (TSXV:TLT),2005.00,16.00,0.00,1.04,0.78,0.01,0.11,0.67,3.04,0.14,0.07,0.00,0.01,0.00,0.53,4.92,0.00,11.30,22.60
Kewaunee Scientific Corporation (NasdaqGM:KEQU),2005.00,16.00,0.00,79.60,12.80,0.74,2.67,28.30,47.00,16.70,-1.49,2.32,0.01,6.19,11.60,1.69,-4.16,21.60,22.90
Microbix Biosystems Inc. (TSX:MBX),2005.00,16.00,0.00,3.71,2.22,-0.02,0.16,2.04,3.55,0.54,0.37,0.00,-0.01,0.00,1.50,3.78,0.00,31.40,23.00
eGain Corporation (NasdaqCM:EGAN),2005.00,16.00,0.00,21.80,14.90,-1.05,0.41,10.90,16.70,9.65,-0.87,12.20,-0.05,4.99,1.25,1.13,-5.77,3.62,23.10
"American Spectrum Realty, Inc. (OTCPK:AQQS.Q)",2005.00,10.00,1.00,20.30,11.60,-2.27,10.60,10.90,169.20,7.66,-1.47,11.30,-0.11,119.78,3.24,1.42,-81.48,14.90,23.30
